Deposited,Collected
128763,128224
180543,179982
138901,138498
145230,144702
141023,140594
213024,211808
28340,28146
424570,423208
392430,391299
269441,266762
161272,160110
172466,171051
32179,32091
352263,351107
426062,425270
151899,149525
125972,125591
230177,229490
183792,178680
163012,160917
174076,173522
244423,243211
113100,112655
91633,91346
156205,155479
88840,88688
265992,264932
66308,65955
43905,43703
194710,193692
62267,62050
190233,189325
179168,178725
127171,126772
127006,126575
81159,81054
53537,53379
116627,116065
230941,230292
132892,132374
403262,402744
45570,45061
136984,135285
126657,126303
433254,432465
26035,26013
239600,238644
56953,56714
171045,170530
349396,348676
162842,162729
250447,249423
0,0
215990,214649
117061,117020
141312,137927
122422,119784
752077,749606
102105,101776
111939,111361
134753,134545
168648,167843
135937,135658
178411,176349
114448,114011
0,0
428163,425965
179590,175795
136028,134828
115419,114449
175844,174439
172985,172086
191300,190089
275047,274608
328652,326345
105951,99489
192962,192196
154427,153647
247735,245299
180256,179833
92961,92321
69392,69236
92776,92279
191003,190384
41361,41233
349359,347699
73521,73262
375989,371980
216072,215771
130026,128900
151958,151513
200826,197435
317876,316985
76061,75681
137117,135968
225401,224566
220557,217769
235238,232816
129415,128858
177878,177104
218034,217588
256429,255324
81565,76050
346278,342813
86597,84450
295128,293338
107546,106907
212830,212285
86621,86311
471628,451601
34947,34757
143489,142482
104238,103982
260000,259252
291220,289829
54152,53949
23441,23319
286504,284929
196064,194085
262925,261798
171769,170659
117362,116972
198416,197367
116284,115888
115881,115401
46870,46660
154233,152919
321235,319856
172718,172055
58540,58031
119177,118403
299129,293116
104266,103707
130596,129808
582724,582008
335051,334652
271623,270832
145646,145203
112556,111707
289297,287948
178062,177318
152843,152149
127879,127493
72558,72293
162157,161738
325277,324579
61485,61321
318837,316891
101674,101371
94458,94078
343019,341605
116457,115974
42196,42180
292931,291079
176884,175390
294625,294104
125948,125448
228997,223949
163154,162675
331441,330511
156250,155463
114304,114020
95189,94695
68653,68137
102491,99459
165813,165496
153719,153051
185778,185269
22929,22824
271020,270134
125574,125046
115449,114880
44549,43802
159030,158268
268398,267447
126318,125811
50921,50722
312663,308545
29852,29671
331140,330087
126185,125750
117823,116837
59653,59625
81611,81064
168969,168698
50055,49229
644480,641166
204166,203648
169002,168574
369928,368739
225452,224014
203241,202566
117006,116410
382652,381923
43501,43281
120107,118741
287892,286800
93598,92941
124774,124394
125411,125177
227539,226452
72950,72673
318433,315601
59082,58894
74819,74486
35322,35237
161438,161188
43849,43650
263649,261604
116758,116363
387266,386371
128564,127969
246919,245802
344924,342975
478655,477986
24104,24049
159074,158642
207302,206190
260161,259334
332118,331001
0,0
127925,127395
140447,140020
68472,68227
294287,289669
122746,122317
217357,216647
273473,272778
137146,136611
294696,293198
69376,69191
276275,275932
55745,55587
140050,139376
58771,58587
118715,117991
445750,442883
206945,205565
234607,233516
118497,118114
207823,207113
103189,102885
330378,328930
128099,127474
46494,46444
233633,230786
383440,382827
63663,63365
242915,242207
158683,158267
264914,263404
127482,127225
106137,105833
189664,188966
80091,79584
104730,104446
206634,205851
155820,155726
120834,120269
452403,451261
233417,231712
134677,134216
247101,246490
299554,298393
124480,123624
497169,496434
355573,354220
20586,20389
181412,180677
329249,327476
235836,234786
492492,490676
84494,83725
185098,175866
132964,132238
58254,58115
236904,235554
119229,118785
23425,23347
174675,174063
188673,188219
271938,270913
379260,377807
24983,24963
215200,214450
203322,201812
148720,148019
22990,22967
295817,295058
248257,248014
158225,157577
43242,43103
267042,265254
239298,238688
72238,72053
180970,180629
338683,337568
229355,226784
194429,193378
225276,222803
98145,97293
74354,74194
96223,94926
61460,61369
406976,406033
251317,249102
108313,96442
63406,63098
203644,202663
66787,66453
180924,180589
321793,321118
82952,82753
272756,271249
349447,347887
293120,292357
141875,141457
167625,166185
71512,71238
429927,425604
284775,282301
220249,219579
248629,247436
141550,140726
257701,255255
116921,116534
80407,79740
126731,126202
24524,24443
107806,107410
27340,27169
407684,406709
199034,197381
164040,162911
337085,336548
251154,248339
112769,110838
341098,339566
273193,272361
134560,134062
212398,211906
63310,63015
21550,21428
165434,164966
328412,327990
571465,569090
286830,286046
48044,47870
200365,200049
203899,202553
288087,286546
146671,146217
137196,136385
277386,276269
268613,264772
233828,233114
103907,103303
227638,226950
175052,173874
228429,228268
224616,221306
106569,105381
228164,226457
337001,335777
282229,282193
144479,143911
520745,518875
108380,108078
97999,97327
109579,109266
56563,56409
204316,203648
61371,61200
36919,36799
92464,92206
41604,41532
227899,226812
248745,247470
245130,244530
179924,178578
21869,21387
367141,361098
149842,149120
331987,328827
223563,222765
437261,434896
239346,236040
185622,184752
119501,116008
274486,273163
172019,171402
173965,173324
375059,374269
27555,27550
128886,128660
75378,74292
172734,172210
184625,183744
44552,44430
151513,151223
45720,45609
149402,148814
276666,276027
129214,128270
214230,212129
281871,280614
244989,242043
144011,143250
159061,157140
240638,239200
301936,300673
126506,126092
501659,501542
99303,99303
119980,118840
265827,264969
216753,216040
116708,116155
142147,141850
130513,130279
208442,207588
347063,346073
96373,95639
314355,313374
18441,18405
118830,118514
76560,76323
389368,388313
258481,258189
80820,80060
420028,415616
140677,140314
90550,90171
127878,127461
402032,398424
285112,284467
266466,265536
302469,301454
314488,313906
80941,79282
99011,98660
124991,124882
328451,326127
203027,202282
78373,78034
363246,359437
260829,254154
211043,209888
410463,409503
163766,163161
384864,383651
325489,321799
182247,181226
342964,340044
206683,205470
390698,381150
342317,341089
77092,76286
363242,358435
160935,160342
361092,359613
230094,229871
254403,253168
97668,96962
132344,129650
252659,251701
311783,309380
177754,176810
55976,55776
73548,73227
174233,172670
202521,200811
61577,61364
187786,187604
101563,101353
136585,135830
83652,83425
75582,75267
330075,328868
179685,178940
44568,44243
206690,205722
223189,222696
248621,247576
141097,140715
312904,312059
308161,307680
192230,191507
107751,107379
170418,167453
236124,235693
81251,80939
161152,160189
228095,226426
268978,268071
222980,221814
280204,279395
161729,160854
60538,60451
176899,176535
157776,156679
197596,194024
233811,232246
218390,218036
210712,210142
484818,484077
186301,185476
179382,179246
408837,404633
101477,101084
51754,51545
61308,61113
289685,287268
80417,80233
184187,183604
101371,101108
748310,745517
184585,184127
87809,87190
283307,282229
141678,141395
295697,294361
67867,67586
177056,176258
288848,287557
113642,112771
118241,117849
205852,202770
150978,147035
271033,269664
203276,202940
143906,143275
33076,32985
109133,108580
0,0
380076,373354
179555,178555
205632,205252
115319,114808
415820,414172
309880,308437
257300,256477
178332,177884
198693,196350
80676,80388
158165,157621
235361,232645
419293,416215
209237,208216
287746,287199
162405,162020
154109,153385
69558,69106
407473,406709
262615,261627
164119,162853
98342,98071
310298,309797
155324,154961
618435,618093
150356,149410
161091,160455
85293,84781
99529,99017
156832,155998
220729,219697
266838,265816
150411,150015
295843,293463
101591,101297
225818,224947
363573,363014
175051,174708
83050,82892
55222,55002
143925,143350
103985,101266
126531,126329
379825,376466
324821,322545
214135,213416
46968,46852
106712,106479
153453,152619
226706,223231
128881,128310
0,0
148207,146212
469461,468458
138695,138214
170391,168722
117404,116736
232901,232134
718083,715187
321438,320027
537214,535473
234216,233538
283612,282787
309339,297416
176945,170006
89738,89374
267428,266132
49344,49244
213683,212643
489345,488175
351259,349894
180076,179553
112346,112222
95104,94706
211161,210441
145164,144832
81381,80457
19432,19383
144926,144080
323192,322451
209272,209032
415563,412987
367701,367317
281222,279841
169809,169174
68500,68126
177226,176496
130104,129685
309387,307718
154337,148300
227769,227072
507484,506071
106554,105197
76395,75889
87403,85499
78380,77398
193484,193209
131558,131115
147083,145911
94764,94407
141955,141706
260096,259110
67539,67285
123593,123155
142326,141646
211838,211328
200943,200218
113721,113410
0,0
182602,182141
303663,299047
262346,261790
514138,512712
625107,621328
232036,231064
87616,79430
131667,131274
39868,39646
156084,155611
108929,108446
379283,377809
262804,262035
219000,216087
113014,112986
169202,168045
287817,282016
303950,301658
86402,85970
94168,93743
279176,278356
250326,249013
317114,314321
258587,257967
258262,256920
110241,110069
208021,207607
206870,206055
167510,166721
161044,160602
190350,188397
194484,193174
262435,262175
245681,245147
155179,154666
208817,208253
117165,116814
188769,187682
57077,56842
178817,177543
265595,263803
112642,111585
143925,141554
183158,182517
342406,340904
287378,286138
109812,109222
156488,155711
231525,231019
225938,224829
206395,205416
148373,147652
281079,280438
89551,88966
592913,592528
230007,228794
379654,378841
50698,50638
99270,98857
197755,196234
145902,145369
151561,150929
562881,560599
48007,47882
129120,128536
327904,321185
488259,486176
73560,73408
33153,33107
111535,111062
281675,281179
147071,146837
21251,21156
198358,197320
167080,164018
76198,75963
220542,218052
253904,252570
186001,185097
248062,246695
106653,106120
284593,283514
210010,209096
294472,292434
161415,161234
56234,56197
275706,266059
128687,128242
74047,73759
343398,341885
99890,99575
175319,174588
184351,183797
45492,45324
65276,65137
175419,175000
47939,47796
166003,165759
443702,441817
246017,245326
207141,205998
222089,221741
212565,211898
390296,387576
316710,316155
217201,216413
103062,102547
243147,241607
127179,126520
421530,420350
74907,74691
90629,90416
228491,228242
207388,206923
389143,387186
518541,516328
293299,291458
294307,294243
82136,81464
121370,120826
87925,87719
220666,219769
96825,96458
201504,200669
248487,246480
108773,108284
397457,396453
359557,357108
86200,85301
117583,117263
75129,74962
282278,281303
279168,278431
155569,155015
263133,262312
299047,295467
166241,165161
611234,610055
125800,125515
24498,24459
89508,87792
96707,96302
144770,143932
207974,206971
79379,79225
255654,251854
273530,270460
258289,257337
51620,51455
205534,205425
104102,103891
92844,92676
86010,85784
84782,84559
305464,302416
60725,60440
135422,135136
203910,202921
241326,239746
140889,138927
81184,80451
205489,204550
201662,199480
98871,98583
298607,296468
231383,230548
167424,166134
265760,265050
100450,100212
188935,188718
163922,163078
180437,179833
221833,221499
137128,136708
189289,188114
71022,70652
208516,208116
178177,177170
218650,218343
181510,181043
250632,250193
93257,92965
284017,282982
172641,171870
169630,146062
128320,127977
124505,123812
193970,191453
268774,267095
111050,110293
88816,88176
330580,328451
431309,430223
198625,198212
280993,280612
168963,166219
206138,200663
81479,81217
175672,174972
224305,223023
64098,64012
262639,261565
132208,131412
124315,122879
215395,214659
175347,174731
96186,95788
187335,185917
171272,170066
119817,119538
87484,87270
140264,139796
137665,137010
69201,69068
63663,63598
169642,168618
251292,250084
118195,117401
185000,184314
239453,238392
189916,189192
152491,152368
45333,45179
190765,190151
106109,104645
56542,56297
137820,137405
255866,255300
247865,241292
55783,55592
442504,441795
41208,40867
59092,57946
177080,176548
394776,393472
198449,196774
197251,196287
151549,151191
174882,173380
68999,68831
20752,20391
239248,237117
51053,50688
183436,182197
101945,101638
63020,62793
83854,83557
116431,116387
186515,186093
139021,137344
103124,102815
136416,135979
205970,205222
314997,314198
57448,57255
177366,175386
143800,143551
307964,307089
395924,394825
248177,247412
218957,216351
96944,95836
214787,214277
120969,120553
227885,225884
83856,83289
59578,59269
247669,246823
260297,259639
221635,220526
118786,117876
348188,347157
197789,197033
120537,120078
172833,171869
180172,179659
53657,53324
214273,213052
43647,43536
148955,148173
269664,269291
122183,121549
74920,74790
100355,99415
19041,18960
131702,131027
162753,161978
215037,214276
276124,274948
166588,166341
131237,130906
371051,369323
431172,426664
222107,220347
93127,91046
230136,226530
210441,210349
190787,190075
365123,364215
202634,202268
663971,660224
28182,28175
37188,37078
68122,67860
206063,202793
148449,148082
167482,166699
170109,169595
80714,80116
228568,227602
120479,120228
177257,176367
96543,96267
41918,41694
208709,207505
206170,205016
214492,212903
288982,287421
592545,587358
150681,150243
433421,432544
285983,285236
207980,207324
218503,218040
126358,126028
305893,305551
236819,235584
446217,443551
46120,45992
205096,204994
68556,68398
25463,25256
221814,220830
27998,27868
380257,379373
166324,165638
98146,97985
115169,114789
86067,85769
214841,213222
149964,149443
151324,151295
331160,330625
322758,322235
24422,24404
297048,295378
189453,189013
598424,595956
268928,267927
342212,333563
149725,149318
242678,241180
206856,205930
362641,360285
193744,193393
248935,248518
